County_Name,State_Name,year,AQI,PRESS,TEMP,RH_DP,NO,CO,so2,Ozone,PM10,WIND,LEAD,Disasters_By_Count
ABBEVILLE,'SOUTH CAROLINA',1999,63.78,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,11
ADAMS,ILLINOIS,2002,44.68,108.28,55.149074,108.28,12.81,0.73,2.65,0.03,23.230241,108.28,0.124122,14
AIKEN,'SOUTH CAROLINA',2007,42.61,320.95214,55.149074,156.735362,3.21,0.73,4.19,0.04,21.19,97.560398,0.13,20
ANDERSON,'SOUTH CAROLINA',2013,34.93,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,32
ARAPAHOE,COLORADO,2018,53.65,93.13,51.6,79.27,12.81,0.73,4.19,0.04,23.230241,93.13,0.124122,34
AROOSTOOK,MAINE,1994,56.81,112.05,38.44,101.51,12.81,0.73,6.47,0.03,20.96,112.05,0.13,19
BARNSTABLE,MASSACHUSETTS,2010,33.97,1006.29,52.11,375.99,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,1
BEAVER,PENNSYLVANIA,2002,86.88,320.95214,55.149074,156.735362,15.38,0.2,9.74,0.04,24.7,97.560398,0.07,14
BERKSHIRE,MASSACHUSETTS,2008,42.99,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,47
BOLIVAR,MISSISSIPPI,2017,36.59,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,11
BOONE,INDIANA,2009,47.07,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,8
BRAZORIA,TEXAS,1990,41.24,76.6,74.26,76.48,12.81,0.73,4.19,0.03,23.230241,76.6,0.124122,4
BROWARD,FLORIDA,1992,41.7,320.95214,55.149074,156.735362,8.85,0.87,2.39,0.03,17.67,97.560398,0.02,5
BUCKS,PENNSYLVANIA,1993,55.03,320.95214,55.149074,156.735362,19.04,0.57,7.64,0.02,24.38,97.560398,0.13,2
BURLINGTON,'NEW JERSEY',1981,64.15,320.95214,55.149074,156.735362,17.85,1.46,12.94,0.03,23.230241,97.560398,0.124122,2
BUTLER,OHIO,1995,58.96,320.95214,55.149074,156.735362,12.81,0.73,5.17,0.03,33.45,97.560398,0.06,22
BUTLER,OHIO,2014,45.02,320.95214,55.149074,156.735362,12.81,0.73,1.45,0.03,21.21,97.560398,0,10
CALCASIEU,LOUISIANA,2006,54.15,320.95214,55.149074,156.735362,9.03,0.73,2.27,0.03,23.230241,97.560398,0.124122,18
CAMPBELL,WYOMING,2007,57,631.17,47.33,234.29,2.9,0.73,2.6,0.04,26.54,196.86,0.13,36
CARTERET,'NORTH CAROLINA',2007,40.39,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,19
CENTRE,PENNSYLVANIA,1994,47.43,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,4
CHARLES,MARYLAND,2015,46.93,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,18
CHEROKEE,OKLAHOMA,2006,45.21,320.95214,60.97,58.75,6.57,0.01,1.64,0.04,20.75,97.560398,0.13,28
CLARK,ILLINOIS,2003,42.34,999.71,57.72,379.4,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,6
CLARK,WASHINGTON,2018,34.29,104.89,54.16,82.77,12.81,0.73,4.19,0.03,23.230241,104.89,0.124122,2
CLINTON,IOWA,2017,52.22,391.95,51.19,277.54,12.81,0.73,0.89,0.03,23.230241,87.2,0.124122,35
CLINTON,MICHIGAN,2014,43.01,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,5
COLLIER,FLORIDA,2008,40.87,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,6
COLUMBIA,FLORIDA,2004,39.18,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,14
COMANCHE,OKLAHOMA,2006,47.43,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,24
COMANCHE,OKLAHOMA,2013,47.84,72.31,60.77,65.26,12.81,0.73,4.19,0.03,23.230241,72.31,0.124122,72
CRITTENDEN,ARKANSAS,1994,44.71,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,25.56,97.560398,0.13,10
DEKALB,TENNESSEE,2017,35.83,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,9
DURHAM,'NORTH CAROLINA',2009,42.03,320.95214,55.149074,156.735362,12.81,0.49,4.19,0.03,23.230241,97.560398,0.124122,10
DUVAL,FLORIDA,2003,49.09,320.95214,55.149074,156.735362,14.18,0.52,1.47,0.03,24.09,97.560398,0.13,36
DUVAL,FLORIDA,2015,39.48,320.95214,55.149074,156.735362,9.18,0.32,0.32,0.03,17.38,97.560398,0.13,103
'EAST BATON ROUGE',LOUISIANA,2011,55.59,503.72,68.11,316.62,8.5,0.22,1.25,0.03,32.62,82.04,0.13,26
EDGEFIELD,'SOUTH CAROLINA',1999,53.66,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,7
EDMONSON,KENTUCKY,2004,44.58,394.22,57.38,249.91,12.81,0.73,4.19,0.03,23.230241,88.9,0.124122,9
ERIE,'NEW YORK',1980,112.89,320.95214,55.149074,156.735362,23.99,0.91,17.71,0.03,23.85,97.560398,0.32,5
ERIE,'NEW YORK',2011,46.41,366.93,55.149074,366.93,9.67,0.41,2.69,0.03,23.230241,93.58,0.124122,19
ESCAMBIA,FLORIDA,1993,67.67,320.95214,55.149074,156.735362,12.81,0.73,5.69,0.03,25.72,97.560398,0.13,1
ESCAMBIA,FLORIDA,2018,39,320.95214,55.149074,156.735362,12.81,0.73,0.57,0.03,23.230241,97.560398,0.124122,8
FLATHEAD,MONTANA,1997,37.8,81.92,41.21,71.03,12.81,1.09,4.19,0.02,25.01,81.92,0.13,5
FLOYD,INDIANA,2002,58.24,990.27,58.1,430.97,12.81,0.73,4.96,0.03,23.230241,97.560398,0.124122,9
'FOND DU LAC',WISCONSIN,2006,42.69,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,28
GALVESTON,TEXAS,1983,59.75,83.22,67.87,78.1,12.81,0.73,7.46,0.03,23.85,83.22,0.08,11
GEAUGA,OHIO,2000,52.96,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,15
GENESEE,MICHIGAN,2011,40.99,273.01,48.87,209.02,12.81,0.73,4.19,0.03,23.230241,93.19,0.124122,30
GILA,ARIZONA,2008,85.49,320.95214,55.149074,156.735362,12.81,0.73,7.7,0.05,20.49,97.560398,0.13,20
GILMER,'WEST VIRGINIA',2014,31.68,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.02,23.230241,97.560398,0.124122,2
GLOUCESTER,'NEW JERSEY',1996,49.69,320.95214,55.149074,156.735362,12.81,0.73,5.4,0.03,20.6,97.560398,0.13,5
GLOUCESTER,'NEW JERSEY',2003,49.48,320.95214,55.149074,156.735362,12.81,0.73,4.48,0.03,23.230241,97.560398,0.124122,11
GRANVILLE,'NORTH CAROLINA',2007,65.55,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,19
GREENE,INDIANA,2001,66.93,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,11
GUNNISON,COLORADO,2008,44.29,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,21.8,97.560398,0.13,3
HENRICO,VIRGINIA,2009,42.67,320.95214,55.149074,156.735362,7.52,0.73,4.19,0.03,15.25,97.560398,0,24
HUNTERDON,'NEW JERSEY',2003,42.05,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,17
JACKSON,MISSISSIPPI,1989,39.45,320.95214,55.149074,156.735362,12.81,0.73,5.72,0.03,23.230241,97.560398,0.124122,5
JACKSON,MISSISSIPPI,2009,36.72,320.95214,55.149074,156.735362,3.73,0.73,0.99,0.03,23.230241,97.560398,0.124122,8
JEFFERSON,ALABAMA,2015,49.89,389.63,64.99,260.06,10.99,0.38,1.08,0.02,18.81,82.94,0.01,31
JEFFERSON,OHIO,2016,49.62,320.95214,53.46,53.46,12.81,0.73,1.47,0.03,16.41,97.560398,0.13,5
'JO DAVIESS',ILLINOIS,2004,33.86,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,24
JOHNSTON,'NORTH CAROLINA',1994,64.24,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,3
JOHNSTON,'NORTH CAROLINA',2015,35.42,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,19
KENNEBEC,MAINE,1992,42.03,108.92,55.149074,108.92,12.81,0.73,5.02,0.03,21.91,108.92,0.13,4
KENT,'RHODE ISLAND',2003,36.2,1011.37,48.39,491.96,7.87,0.73,4.19,0.03,11.19,97.560398,0.13,3
KNOX,INDIANA,1995,48.53,998.41,54.35,526.38,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,4
'LA CROSSE',WISCONSIN,1983,46.77,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,9
