ARB ID,Facility Name,Year,,Total_CO2,AEL,, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ,,Emissions ,Emissions , Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,,Emissions Data,Product Data,Verification Body,,City,State,Zip Code,Description,U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2017,,"317,179",No,,0,0,0,0,"317,179",  ,0,0,"6,305","6,305","310,874",,Positive,N/A,Analytical Environmental Services,,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2017,,"16,392",No,,"16,392",0,0,0,0,  ,0,0,0,0,"16,392",,N/A,N/A,,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2017,,"16,494",No,,"16,494",0,0,0,0,  ,0,0,0,0,"16,494",,N/A,N/A,,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
104347,"Aemetis Advanced Fuels Keyes, Inc.",2017,,"74,914",No,,"74,914",0,0,0,0,  ,"74,914",0,0,"74,914",0,,Positive,N/A,Analytical Environmental Services,,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104018,Aera Energy Coastal Basins,2017,,"434,874",No,,"434,874",0,0,0,0,  ,"432,128",0,0,"432,128","2,746",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2017,,"3,354,856",No,,"3,354,856",0,0,0,0,  ,"3,304,763",0,0,"3,304,763","50,093",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin (opt-in 2014),2017,,"11,393",No,,"11,393",0,0,0,0,  ,"8,042",0,0,"8,042","3,351",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2017,,"4,399",No,,"4,399",0,0,0,0,  ,0,0,0,0,"4,399",,N/A,N/A,,,Ventura,CA,93001,211111 - Crude Petroleum and Natural Gas Extraction,C,Oil and Gas Production
104382,Aerojet Rocketdyne,2017,,"8,098",No,,"8,098",0,0,0,0,  ,0,0,0,0,"8,098",,N/A,N/A,,,Sacramento,CA,95742-6418,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,C,Other Combustion Source
101321,"AES Alamitos, LLC",2017,,"591,906",No,,"591,906",0,0,0,0,  ,"591,906",0,0,"591,906",0,,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",,Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2017,,"256,534",No,,"256,534",0,0,0,0,  ,"256,534",0,0,"256,534",0,,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",,Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2017,,"352,444",No,,"352,444",0,0,0,0,  ,"352,444",0,0,"352,444",0,,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",,Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
104659,Agera Energy LLC,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Briarcliff Maor,NY,10510,221122 - Electric Power Distribution,EPE,Electricity Importer
104554,Agron Bioenergy Fuels,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Watsonville,CA,95076,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
101701,Air Liquide El Segundo Hydrogen Plant,2017,,"629,938",No,,"629,938",0,0,0,0,  ,"629,938",0,0,"629,938",0,,Positive,Positive,"Trinity Consultants, Inc.",,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2017,,"839,102",No,,"839,102",0,0,0,0,  ,"839,102",0,0,"839,102",0,,Positive,Positive,"Trinity Consultants, Inc.",,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2017,,"232,437",No,,"232,437",0,0,0,0,  ,"232,437",0,0,"232,437",0,,Positive,Positive,Ramboll US Corporation,,Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101248,Air Products Carson Hydrogen Plant,2017,,"612,128",No,,"612,128",0,0,0,0,  ,"612,128",0,0,"612,128",0,,Positive,Positive,Ramboll US Corporation,,Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2017,,"46,526",No,,"46,526",0,0,0,0,  ,"46,526",0,0,"46,526",0,,Positive,Positive,Ramboll US Corporation,,Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
100127,Air Products Wilmington Hydrogen Plant,2017,,"747,740",No,,"747,740",0,0,0,0,  ,"747,740",0,0,"747,740",0,,Positive,Positive,Ramboll US Corporation,,Wilmington,CA,90744,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
3022,Alameda Municipal Power,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Alameda,CA,94501,221122 - Electric Power Distribution,EPE,Electricity Importer
101433,"Algonquin Power Sanger, LLC",2017,,"39,380",No,,"39,380",0,0,0,0,  ,"39,380",0,0,"39,380",0,,Positive,N/A,SCS Engineers,,Sanger,CA,93657,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104345,All American Asphalt - Corona,2017,,"12,740",No,,"12,740",0,0,0,0,  ,0,0,0,0,"12,740",,N/A,N/A,,,Corona,CA,92879,324121 - Asphalt Paving Mixture and Block Manufacturing,C,Other Combustion Source
104666,All American Asphalt - Irvine,2017,,"10,013",No,,"10,013",0,0,0,0,  ,0,0,0,0,"10,013",,N/A,N/A,,,Irvine,CA,92602,324121 - Asphalt Paving Mixture and Block Manufacturing,C,Other Combustion Source
101231,All American Oil & Gas. Inc.,2017,,"210,029",No,,"210,029",0,0,0,0,  ,"209,644",0,0,"209,644",386,,Positive,Positive,Ashworth Leininger Group,,Bakersfield,CA,93308,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104406,Allergan,2017,,"9,009",No,,"9,009",0,0,0,0,  ,0,0,0,0,"9,009",,N/A,N/A,,,Irvine,CA,92612,325412 - Pharmaceutical Preparation Manufacturing,C,Other Combustion Source
104341,Alon Asphalt Company - Elk Grove Asphalt Terminal,2017,,"8,949",No,,"8,949",0,0,0,0,  ,0,0,0,0,"8,949",,N/A,N/A,,,Elk Grove,CA,95624,424710 - Petroleum Bulk Stations and Terminals,C,Other Combustion Source
100884,Alon Bakersfield Refinery - Area 3,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Bakersfield,CA,93308,324110 - Petroleum Refineries,C,Refinery
101237,Alon Bakersfield Refinery - Areas 1&2,2017,,"20,075",No,,"20,075",0,0,0,0,  ,"20,075",0,0,"20,075",0,,Positive,N/A,"GHD Services, Inc.",,Bakersfield,CA,93308,324110 - Petroleum Refineries,C,Refinery
104499,Alon Bakersfield Refinery - Areas 1&2 - Fuel Supplier,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Bakersfield,CA,93308,324110 - Petroleum Refineries,MM,Transportation Fuel Supplier
101371,AltaGas Pomona Energy Inc (San Gabriel Energy Facility),2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,Positive,N/A,NSF International,,Pomona,CA,91768,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100283,AltaGas Ripon Energy Inc.,2017,,"10,238",No,,"10,238",0,0,0,0,  ,"10,238",0,0,"10,238",0,,Positive,N/A,NSF International,,Ripon,CA,95366,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104027,Ameresco Chiquita Energy LLC,2017,,"33,794",No,,170,"33,625",0,0,0,  ,0,0,0,0,"33,794",,Positive,N/A,Ashworth Leininger Group,,Castaic,CA,91384,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
104637,Ameresco Forward LLC,2017,,"17,230",No,,86,"17,144",0,0,0,  ,0,0,0,0,"17,230",,N/A,N/A,,,Manteca,CA,95336,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
101657,Ameresco Half Moon Bay,2017,,"45,050",No,,226,"44,825",0,0,0,  ,0,0,0,0,"45,050",,Positive,N/A,Ashworth Leininger Group,,Half Moon Bay,CA,94019,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
101748,Ameresco Keller Canyon,2017,,"15,963",No,,80,"15,883",0,0,0,  ,0,0,0,0,"15,963",,N/A,N/A,,,Pittsburg,CA,94565,221119 - Other Electric Power Generation,C,In-State Electricity Generation
104636,Ameresco San Joaquin LLC ,2017,,"16,018",No,,80,"15,938",0,0,0,  ,0,0,0,0,"16,018",,N/A,N/A,,,Linden,CA,95236,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
101656,Ameresco Santa Cruz,2017,,"12,095",No,,45,"12,050",0,0,0,  ,0,0,0,0,"12,095",,N/A,N/A,,,Watsonville,CA,95076,221119 - Other Electric Power Generation,C,In-State Electricity Generation
104634,Ameresco Vasco Road,2017,,"16,897",No,,85,"16,813",0,0,0,  ,0,0,0,0,"16,897",,N/A,N/A,,,Livermore,CA,94551,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
104492,"American Biodiesel, Inc. dba Community Fuels",2017,,"22,323",No,,0,0,43,"22,280",0,  ,0,0,0,0,"22,323",,N/A,N/A,,,Stockton,CA,95203,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
104727,"American PowerNet Management, LP",2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Wyomissing,PA,19610,221122 - Electric Power Distribution,EPE,Electricity Importer
104544,"AmeriGas Propane, L.P.",2017,,"194,344",No,,0,0,"194,344",0,0,  ,0,"194,344",0,"194,344",0,,Positive,N/A,"Trinity Consultants, Inc.",,King of Prussia,PA,19406,454312 - Liquefied Petroleum Gas (Bottled Gas) Dealers,NN,"Supplier of Natural Gas, NGL, or LPG"
101179,Amgen Inc.,2017,,"20,339",No,,"20,339",0,0,0,0,  ,0,0,0,0,"20,339",,N/A,N/A,,,Thousand Oaks,CA,91320,325414 - Biological Product (except Diagnostic) Manufacturing,C,Other Combustion Source
101666,"Ampersand Chowchilla Biomass, LLC, 93610",2017,,"95,067",No,,"1,893","93,175",0,0,0,  ,0,0,0,0,"95,067",,Positive,N/A,Analytical Environmental Services,,Chowchilla,CA,93610,221119 - Other Electric Power Generation,C,In-State Electricity Generation
104487,Ampine: A Division of Timber Products,2017,,"17,252",No,,"1,579","15,673",0,0,0,  ,0,0,0,0,"17,252",,N/A,N/A,,,Martell,CA,95654,321219 - Reconstituted Wood Product Manufacturing,C,Other Combustion Source
100943,Anheuser-Busch LLC - Fairfield (opt-in 2013),2017,,"19,188",No,,"16,276","2,912",0,0,0,  ,"16,276",0,0,"16,276","2,912",,Positive,Positive,Analytical Environmental Services,,Fairfield,CA,94534,312120 - Breweries,C,Other Combustion Source
101473,Anheuser-Busch LLC - Los Angeles Brewery,2017,,"42,964",No,,"37,097","5,867",0,0,0,  ,"37,097",0,0,"37,097","5,867",,Positive,Positive,Analytical Environmental Services,,Van Nuys,CA,91406,312120 - Breweries,C,Other Combustion Source
104578,Anza Electric Cooperative,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Anza,CA,92539,221122 - Electric Power Distribution,EPE,Electricity Importer
104003,"Apex Oil Company, Inc.",2017,,"341,278",No,,0,0,"320,935","20,344",0,  ,0,"320,935",0,"320,935","20,344",,Positive,N/A,Locus Technologies,,St. Louis,MO,63105,424710 - Petroleum Bulk Stations and Terminals,MM,Transportation Fuel Supplier
104725,Apple Valley Choice Energy,2017,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Apple Valley,CA,92307,221122 - Electric Power Distribution,EPE,Electricity Importer
100234,Applied Energy LLC - NAS North Island,2017,,"163,583",No,,"163,583",0,0,0,0,  ,"163,552",0,0,"163,552",31,,Positive,N/A,Locus Technologies,,San Diego ,CA,92135,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
100229,Applied Energy LLC - NTC/MCRD,2017,,"103,334",No,,"103,334",0,0,0,0,  ,"103,334",0,0,"103,334",0,,Positive,N/A,Locus Technologies,,San Diego,CA,92140,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
101390,Applied Energy LLC - U.S. Naval Station,2017,,"198,937",No,,"198,937",0,0,0,0,  ,"198,886",0,0,"198,886",51,,Positive,N/A,Locus Technologies,,San Diego,CA,92136,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104042,Archer Daniels Midland,2017,,"251,100",No,,0,0,223,"250,877",0,  ,0,0,0,0,"251,100",,Positive,N/A,"GHD Services, Inc.",,Decatur,IL,62526,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
104673,Arcturus Manufacturing,2017,,"6,211",No,,"6,211",0,0,0,0,  ,0,0,0,0,"6,211",,N/A,N/A,,,Oxnard,CA,93033,332111 - Iron and Steel Forging,C,Other Combustion Source
101342,Ardagh Glass Inc.,2017,,"82,403",No,,"82,403",0,0,0,0,  ,"82,403",0,0,"82,403",0,,Positive,Positive,"Davenport Engineering, Inc.",,Madera,CA,93637,327213 - Glass Container Manufacturing,"C,N",Other Combustion Source
2098,Arizona Electric Power Cooperative,2017,,"22,212",No,,0,0,0,0,"22,212",  ,0,0,"22,212","22,212",0,,Positive,N/A,Locus Technologies,,Cochise,AZ,85606,221112 - Fossil Fuel Electric Power Generation,EPE,Electricity Importer
104131,Arizona Public Service Company,2017,,"43,367",No,,0,0,0,0,"43,367",  ,0,0,"41,966","41,966","1,400",,Qualified Positive,N/A,"Lincus, Inc.",,Phoenix,AZ,85004,221122 - Electric Power Distribution,EPE,Electricity Importer
2292,Avangrid Renewables,2017,,"178,181",No,,0,0,0,0,"178,181",  ,0,0,"141,590","141,590","36,592",,Positive,N/A,Analytical Environmental Services,,Portland,OR,90120,221119 - Other Electric Power Generation,EPE,Electricity Importer
101696,Avenal State Prison,2017,,"16,667",No,,"16,667",0,0,0,0,  ,0,0,0,0,"16,667",,N/A,N/A,,,Avenal,CA,93204,922140 - Correctional Institutions,C,Other Combustion Source
104677,Avista Utilities,2017,,"13,154",No,,0,0,0,0,"13,154",  ,0,0,487,487,"12,667",,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",,Spokane,WA,99220-3727,221111 - Hydroelectric Power Generation,EPE,Electricity Importer
104379,"Azteca Milling, L.P.",2017,,"12,796",No,,"12,796",0,0,0,0,  ,0,0,0,0,"12,796",,N/A,N/A,,,Madera,CA,93638,311211 - Flour Milling,C,Other Combustion Source
3024,Azusa Light and Water,2017,,"217,658",No,,0,0,0,0,"217,658",  ,0,0,"217,658","217,658",0,,Positive,N/A,"Lincus, Inc.",,Azusa,CA,91702,221122 - Electric Power Distribution,EPE,Electricity Importer
