Year,State,City,Total_Population,Total_CO2
2011,UT,Salt Lake City,376362.0,798862.0
2015,UT,Salt Lake City,383474.0,0.0
2013,UT,Salt Lake City,383322.0,532155.0
2012,UT,Salt Lake City,379430.0,762193.0
2014,UT,Salt Lake City,382796.0,579607.0
2017,UT,Salt Lake City,401140.0,0.0
2018,UT,Salt Lake City,401182.0,0.0
2016,UT,Salt Lake City,388364.0,0.0
2013,MN,Hopkins,36100.0,3751.0
2015,MN,Hopkins,36186.0,620.0
2016,MN,Hopkins,36288.0,3948.0
2014,MN,Hopkins,36132.0,9696.0
2017,MN,Hopkins,37244.0,5125.0
2011,MN,Hopkins,35564.0,49505.0
2018,MN,Hopkins,37210.0,0.0
2012,MN,Hopkins,36024.0,10249.0
2015,OR,Klamath Falls,41874.0,17331.0
2013,OR,Portland,609970.0,129431.0
2011,OR,Portland,595410.0,349549.0
2014,OR,Portland,620647.0,304612.0
2018,OR,Klamath Falls,43072.0,23449.0
2018,OR,Portland,653115.0,1282128.0
2016,OR,Portland,643136.0,1330888.0
2017,OR,Klamath Falls,42592.0,23450.0
2015,OR,Portland,631539.0,1223128.0
2012,OR,Portland,604285.0,264250.0
2017,OR,Portland,648630.0,1345226.0
2014,OR,Klamath Falls,41674.0,13976.0
2016,OR,Klamath Falls,42194.0,22504.0
2017,TX,El Paso,2292480.0,56871.0
2014,TX,Dallas,3807351.0,1295061.0
2016,TX,El Paso,2286259.0,24478.0
2018,TX,Irving,484484.0,1564199.0
2015,TX,Arlington,778202.0,78464.0
2013,TX,Arlington,758532.0,51587.0
2016,TX,San Antonio,1488512.0,1.8306928E7
2013,TX,San Antonio,1408787.0,1.4659973E7
2011,TX,Dallas,3633471.0,538506.0
2011,TX,Houston,2161463.0,3.3313224E7
2012,TX,Dallas,3705377.0,1270518.0
2015,TX,San Antonio,1464531.0,1.7282809E7
2016,TX,Irving,480172.0,1452262.0
2011,TX,San Antonio,1357536.0,1442261.0
2017,TX,Houston,2354429.0,3.6197909E7
2017,TX,Irving,481668.0,1490770.0
2012,TX,San Antonio,1383608.0,4.2050793E7
2013,TX,Lubbock,800508.0,751307.0
2015,TX,El Paso,2274282.0,21125.0
2015,TX,Irving,474716.0,1387712.0
2018,TX,Arlington,796224.0,74618.0
2014,TX,Arlington,766148.0,69365.0
2014,TX,Houston,2277409.0,3.4739897E7
2017,TX,San Antonio,1511409.0,1.9208023E7
2018,TX,Houston,2362596.0,3.6344726E7
2014,TX,San Antonio,1435839.0,1.6200818E7
2015,TX,Houston,2322955.0,3.6802257E7
2013,TX,Dallas,3751395.0,1275395.0
2018,TX,San Antonio,1532233.0,2.0029018E7
2017,TX,Arlington,794210.0,67441.0
2014,TX,El Paso,2277090.0,37022.0
2016,TX,Arlington,789560.0,43638.0
2016,TX,Houston,2346374.0,3.6737968E7
2012,TX,Houston,2197085.0,3.2282863E7
2013,TX,El Paso,2268844.0,24388.0
2013,TX,Houston,2234650.0,3.3099092E7
2016,ND,Bismarck,289740.0,6197.0
2015,ND,Bismarck,285128.0,0.0
2013,ND,Bismarck,268140.0,0.0
2018,ND,Bismarck,292448.0,16244.0
2012,ND,Bismarck,258788.0,316.0
2017,ND,Bismarck,291840.0,3504.0
2014,ND,Bismarck,275660.0,0.0
2015,CT,Stamford,513628.0,22.0
2016,CT,Stamford,516168.0,605465.0
2011,CT,Stamford,495920.0,48181.0
2014,CT,Stamford,511896.0,1783.0
2013,CT,Stamford,505272.0,22222.0
2012,CT,Stamford,500216.0,89124.0
2017,CT,Stamford,519804.0,345345.0
2017,NE,Omaha,933548.0,682205.0
2015,NE,Cambridge,2094.0,12949.0
2014,NE,Omaha,922772.0,689713.0
2016,NE,Omaha,931108.0,622114.0
2016,NE,Cambridge,2072.0,16127.0
2013,NE,Omaha,918182.0,631625.0
2015,NE,Omaha,926944.0,653849.0
2011,NE,Omaha,906434.0,582046.0
2014,NE,Cambridge,2084.0,8481.0
2018,NE,Cambridge,2052.0,14054.0
2017,NE,Cambridge,2072.0,17331.0
2012,NE,Omaha,912676.0,581858.0
2018,NE,Omaha,936524.0,685109.0
2015,NV,Reno,476670.0,95080.0
2017,NV,Reno,494212.0,52671.0
2015,NV,Las Vegas,1235680.0,699722.0
2011,NV,Las Vegas,1173270.0,778506.0
2012,NV,Reno,458138.0,50478.0
2011,NV,Reno,454320.0,62989.0
2014,NV,Las Vegas,1216550.0,654821.0
2016,NV,Reno,484952.0,60029.0
2018,NV,Las Vegas,1289288.0,770069.0
2016,NV,Las Vegas,1253900.0,752590.0
2014,NV,Reno,468602.0,73472.0
2012,NV,Las Vegas,1186822.0,734995.0
